Node;Category;Type;IsMandatory;PossibleValues;Reference
.*how/TXpower;Attribute;real array;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/powerdiff;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/phasediff;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/NI;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/Vsamples;Attribute;integer;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/astart;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/scan_optimized;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/azmethod;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/elmethod;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/binmethod;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/binmethod_avg;Attribute;integer;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/elangles;Attribute;real array;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/startazA;Attribute;real array;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/stopazA;Attribute;real array;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/startazT;Attribute;real array;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/stopazT;Attribute;real array;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/startelA;Attribute;real array;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/stopelA;Attribute;real array;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/startelT;Attribute;real array;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/stopelT;Attribute;real array;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/startT;Attribute;real array;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/stopT;Attribute;real array;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/pointaccEL;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/pointaccAZ;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/anglesync;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/anglesyncRes;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/malfunc;Attribute;string;FALSE;(True)?(False)?;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/radar_msg;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/radhoriz;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/NEZH;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/NEZV;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/OUR;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/Dclutter;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/clutterType;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/clutterMap;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/zcalH;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/zcalV;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/zdrcal;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/nsampleH;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/nsampleV;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/melting_layer_top;Attribute;real array;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/melting_layer_bottom;Attribute;real array;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/comment;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/SQI;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/CSR;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/LOG;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/VPRCorr;Attribute;string;FALSE;(True)?(False)?;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/freeze;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/min;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/max;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/step;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/levels;Attribute;integer;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/peakpwr;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/avgpwr;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/dynrange;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/RAC;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/BBC;Attribute;string;FALSE;(True)?(False)?;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/PAC;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/S2N;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/SNRT;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/SNRHCT;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/SNRHXT;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/MDS;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/SNRVCT;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/SNRVXT;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/smoothed_PHIDP;Attribute;string;FALSE;(True)?(False)?;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/polarization;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/scan_index;Attribute;integer;FALSE;>0&&<=999;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/scan_count;Attribute;integer;FALSE;>0&&<=999;OPERA_ODIM_v2.3.pdf,Section 4.4
/dataset[1-9][0-9]*;Group;;TRUE;;
/dataset[1-9][0-9]*/what;Group;;TRUE;;OPERA_ODIM_v2.3.pdf,Section 4.5
/dataset[1-9][0-9]*/what/product;Attribute;string;TRUE;SCAN;OPERA_ODIM_v2.3.pdf,Section 4.5
/dataset[1-9][0-9]*/what/startdate;Attribute;string;TRUE;[1-2][0-9]{3}[0-1][0-9][0-3][0-9];OPERA_ODIM_v2.3.pdf,Section 4.5
/dataset[1-9][0-9]*/what/starttime;Attribute;string;TRUE;[0-2][0-9][0-5][0-9][0-5][0-9];OPERA_ODIM_v2.3.pdf,Section 4.5
/dataset[1-9][0-9]*/what/enddate;Attribute;string;TRUE;[1-2][0-9]{3}[0-1][0-9][0-3][0-9];OPERA_ODIM_v2.3.pdf,Section 4.5
/dataset[1-9][0-9]*/what/endtime;Attribute;string;TRUE;[0-2][0-9][0-5][0-9][0-5][0-9];OPERA_ODIM_v2.3.pdf,Section 4.5
/dataset[1-9][0-9]*/where;Group;;TRUE;;OPERA_ODIM_v2.3.pdf,Section 4.3.1
/dataset[1-9][0-9]*/where/elangle;Attribute;real;TRUE;;OPERA_ODIM_v2.3.pdf,Section 4.3.1
/dataset[1-9][0-9]*/where/a1gate;Attribute;integer;TRUE;;OPERA_ODIM_v2.3.pdf,Section 4.3.1
/dataset[1-9][0-9]*/where/nbins;Attribute;integer;TRUE;;OPERA_ODIM_v2.3.pdf,Section 4.3.1
/dataset[1-9][0-9]*/where/rstart;Attribute;real;TRUE;;OPERA_ODIM_v2.3.pdf,Section 4.3.1
/dataset[1-9][0-9]*/where/rscale;Attribute;real;TRUE;;OPERA_ODIM_v2.3.pdf,Section 4.3.1
/dataset[1-9][0-9]*/where/nrays;Attribute;integer;TRUE;;OPERA_ODIM_v2.3.pdf,Section 4.3.1
/dataset[1-9][0-9]*/data[1-9][0-9]*;Group;;TRUE;;
/dataset[1-9][0-9]*/data[1-9][0-9]*/what;Group;;TRUE;;OPERA_ODIM_v2.3.pdf,Section 4.5
/dataset[1-9][0-9]*/data[1-9][0-9]*/what/quantity;Attribute;string;TRUE;;OPERA_ODIM_v2.3.pdf,Section 4.5
/dataset[1-9][0-9]*/data[1-9][0-9]*/what/gain;Attribute;real;TRUE;;OPERA_ODIM_v2.3.pdf,Section 4.5
/dataset[1-9][0-9]*/data[1-9][0-9]*/what/offset;Attribute;real;TRUE;;OPERA_ODIM_v2.3.pdf,Section 4.5
/dataset[1-9][0-9]*/data[1-9][0-9]*/what/nodata;Attribute;real;TRUE;;OPERA_ODIM_v2.3.pdf,Section 4.5
/dataset[1-9][0-9]*/data[1-9][0-9]*/what/undetect;Attribute;real;TRUE;;OPERA_ODIM_v2.3.pdf,Section 4.5
/dataset[1-9][0-9]*/data[1-9][0-9]*/data;Dataset;;TRUE;;
/dataset[1-9][0-9]*/data[1-9][0-9]*/data/CLASS;Attribute;string;FALSE;IMAGE;OPERA_ODIM_v2.3.pdf,Section 5
/dataset[1-9][0-9]*/data[1-9][0-9]*/data/IMAGE_VERSION;Attribute;string;FALSE;1.2;OPERA_ODIM_v2.3.pdf,Section 5
.*/quality[1-9][0-9]*;Group;;FALSE;;
.*/quality[1-9][0-9]*/what;Group;;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.5
.*/quality[1-9][0-9]*/what/quantity;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.5
.*/quality[1-9][0-9]*/what/gain;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.5
.*/quality[1-9][0-9]*/what/offset;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.5
.*/quality[1-9][0-9]*/what/nodata;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.5
.*/quality[1-9][0-9]*/what/undetect;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.5
.*/quality[1-9][0-9]*/data;Dataset;;FALSE;;
