Node;Category;Type;IsMandatory;PossibleValues;Reference
.*how/beamwV;Attribute;real;FALSE;;
.*how/gasattn;Attribute;real;FALSE;;
.*how/radconstH;Attribute;real;FALSE;;
.*how/radconstV;Attribute;real;FALSE;;
.*how/nomTXpower;Attribute;real;FALSE;;
.*how/TXpower;Attribute;real array;FALSE;;
.*how/powerdiff;Attribute;real;FALSE;;
.*how/phasediff;Attribute;real;FALSE;;
.*how/NI;Attribute;real;FALSE;;
.*how/Vsamples;Attribute;integer;FALSE;;
.*how/astart;Attribute;real;FALSE;;
.*how/scan_optimized;Attribute;string;FALSE;;
.*how/azmethod;Attribute;string;FALSE;;
.*how/elmethod;Attribute;string;FALSE;;
.*how/binmethod;Attribute;string;FALSE;;
.*how/binmethod_avg;Attribute;integer;FALSE;;
.*how/elangles;Attribute;real array;FALSE;;
.*how/startazA;Attribute;real array;FALSE;;
.*how/stopazA;Attribute;real array;FALSE;;
.*how/startazT;Attribute;real array;FALSE;;
.*how/stopazT;Attribute;real array;FALSE;;
.*how/startelA;Attribute;real array;FALSE;;
.*how/stopelA;Attribute;real array;FALSE;;
.*how/startelT;Attribute;real array;FALSE;;
.*how/stopelT;Attribute;real array;FALSE;;
.*how/startT;Attribute;real array;FALSE;;
.*how/stopT;Attribute;real array;FALSE;;
.*how/pointaccEL;Attribute;real;FALSE;;
.*how/pointaccAZ;Attribute;real;FALSE;;
.*how/anglesync;Attribute;string;FALSE;;
.*how/anglesyncRes;Attribute;real;FALSE;;
.*how/malfunc;Attribute;string;FALSE;(True)?(False)?;
.*how/radar_msg;Attribute;string;FALSE;;
.*how/radhoriz;Attribute;real;FALSE;;
.*how/NEZH;Attribute;real;FALSE;;
.*how/NEZV;Attribute;real;FALSE;;
.*how/OUR;Attribute;real;FALSE;;
.*how/Dclutter;Attribute;string;FALSE;;
.*how/clutterType;Attribute;string;FALSE;;
.*how/clutterMap;Attribute;string;FALSE;;
.*how/zcalH;Attribute;real;FALSE;;
.*how/zcalV;Attribute;real;FALSE;;
.*how/zdrcal;Attribute;real;FALSE;;
.*how/nsampleH;Attribute;real;FALSE;;
.*how/nsampleV;Attribute;real;FALSE;;
.*how/melting_layer_top;Attribute;real array;FALSE;;
.*how/melting_layer_bottom;Attribute;real array;FALSE;;
.*how/comment;Attribute;string;FALSE;;
.*how/SQI;Attribute;real;FALSE;;
.*how/CSR;Attribute;real;FALSE;;
.*how/LOG;Attribute;real;FALSE;;
.*how/VPRCorr;Attribute;string;FALSE;(True)?(False)?;
.*how/freeze;Attribute;real;FALSE;;
.*how/min;Attribute;real;FALSE;;
.*how/max;Attribute;real;FALSE;;
.*how/step;Attribute;real;FALSE;;
.*how/levels;Attribute;integer;FALSE;;
.*how/peakpwr;Attribute;real;FALSE;;
.*how/avgpwr;Attribute;real;FALSE;;
.*how/dynrange;Attribute;real;FALSE;;
.*how/RAC;Attribute;real;FALSE;;
.*how/BBC;Attribute;string;FALSE;(True)?(False)?;
.*how/PAC;Attribute;real;FALSE;;
.*how/S2N;Attribute;real;FALSE;;
.*how/SNRT;Attribute;real;FALSE;;
.*how/SNRHCT;Attribute;real;FALSE;;
.*how/SNRHXT;Attribute;real;FALSE;;
.*how/MDS;Attribute;real;FALSE;;
.*how/SNRVCT;Attribute;real;FALSE;;
.*how/SNRVXT;Attribute;real;FALSE;;
.*how/smoothed_PHIDP;Attribute;real;FALSE;(True)?(False)?;
.*how/polarization;Attribute;string;FALSE;;
.*how/scan_index;Attribute;integer;FALSE;[1][0-9]*;
.*how/scan_count;Attribute;integer;FALSE;[1][0-9]*;
/dataset1;Group;;TRUE;;
/dataset1/what;Group;;TRUE;;
/dataset1/what/product;Attribute;string;TRUE;SCAN;
/dataset1/what/startdate;Attribute;string;TRUE;[1-2][0-9]{3}[0-1][0-9][0-3][0-9];
/dataset1/what/starttime;Attribute;string;TRUE;[0-2][0-9][0-5][0-9][0-5][0-9];
/dataset1/what/enddate;Attribute;string;TRUE;[1-2][0-9]{3}[0-1][0-9][0-3][0-9];
/dataset1/what/endtime;Attribute;string;TRUE;[0-2][0-9][0-5][0-9][0-5][0-9];
/dataset1/where;Group;;TRUE;;
/dataset1/where/elangle;Attribute;real;TRUE;;
/dataset1/where/a1gate;Attribute;integer;TRUE;;
/dataset1/where/nbins;Attribute;integer;TRUE;;
/dataset1/where/rstart;Attribute;real;TRUE;;
/dataset1/where/rscale;Attribute;real;TRUE;;
/dataset1/where/nrays;Attribute;integer;TRUE;;
/dataset1/data[1-9][0-9]*;Group;;TRUE;;
/dataset1/data[1-9][0-9]*/what;Group;;TRUE;;
/dataset1/data[1-9][0-9]*/what/quantity;Attribute;string;TRUE;;
/dataset1/data[1-9][0-9]*/what/gain;Attribute;real;TRUE;;
/dataset1/data[1-9][0-9]*/what/offset;Attribute;real;TRUE;;
/dataset1/data[1-9][0-9]*/what/nodata;Attribute;real;TRUE;;
/dataset1/data[1-9][0-9]*/what/undetect;Attribute;real;TRUE;;
/dataset1/data[1-9][0-9]*/data;Dataset;;TRUE;;
.*/quality[1-9][0-9]*;Group;;FALSE;;
.*/quality[1-9][0-9]*/what;Group;;FALSE;;
.*/quality[1-9][0-9]*/what/quantity;Attribute;string;FALSE;;
.*/quality[1-9][0-9]*/what/gain;Attribute;real;FALSE;;
.*/quality[1-9][0-9]*/what/offset;Attribute;real;FALSE;;
.*/quality[1-9][0-9]*/what/nodata;Attribute;real;FALSE;;
.*/quality[1-9][0-9]*/what/undetect;Attribute;real;FALSE;;
.*/quality[1-9][0-9]*/data;Dataset;;FALSE;;
